,"CD8-positive, alpha-beta T cell",gamma-delta T cell,fibroblast,plasma cell,intestinal crypt stem cell of colon,"CD4-positive, alpha-beta T cell",B cell,enterocyte of epithelium of large intestine,myeloid leukocyte,BEST4+ enterocyte,regulatory T cell,mast cell,colon endothelial cell,type L enteroendocrine cell,colon macrophage,transit amplifying cell of colon,enterochromaffin-like cell,large intestine goblet cell,paneth cell of colon,enteroglial cell,myofibroblast cell,"naive thymus-derived CD4-positive, alpha-beta T cell",monocyte,innate lymphoid cell,tuft cell of colon,mature NK T cell,natural killer cell,myeloid dendritic cell,neutrophil
Eikenella,0.2490142459033698,0.05852070964864461,0.2943065614302077,0.5569089569224076,0.029753987582999214,0.02975891291524585,0.5737638446522174,0.33023041874587267,-0.04084231578048561,0.2627680130757894,-0.03902530784373867,-0.03971892607107705,0.17258868146981024,-0.4739840733973394,-0.4174753497539099,-0.06868625877229179,-0.2038493361003271,0.19427419977858218,-0.17240722265636324,-0.3236911104005874,0.5396946306764662,0.032267109854039314,0.12025846140637715,-0.327424455864037,-0.06331481735755479,0.13327677691295983,-0.2452980732266908,0.2127094055037016,-0.08019160697564148
Streptococcus,0.012491875062016974,-0.08051198366881906,0.6556834553526812,0.09595083257861983,-0.2173132786867701,0.3467634736309567,-0.26625309499130667,0.16265907850142663,-0.4879010371639326,-0.2984558146695291,0.15905837076073706,0.3215399739986231,0.15141048435699114,0.06530551528352785,0.009668891323213372,-0.34355659711022823,-0.11595326251841259,-0.038191631287936234,0.4171366678656747,0.20308548687053843,-0.4289120466088202,0.1972251908184385,-0.015524684124894952,-0.1030766000917876,0.28350288665226037,0.40929985674878533,0.37938403573485957,-0.15176525696679152,0.007236287244635639
Agathobacter rectalis,0.1993790294210692,0.39266353813670773,-0.043752271353586975,0.04430230700085487,-0.23190049220180844,-0.2588619872242012,0.3437577467182594,0.5068720085712469,0.07839696352589985,0.4010598693676073,0.20849080751429025,-0.09353592638153727,0.2084186816525242,0.5614109699397908,0.08925218826701455,0.5693930967442018,-0.6859235312269233,0.34657075131256715,0.12611412047145137,0.010297794860239767,0.1275282329606507,-0.49627067438026784,0.03409843364874643,0.2071337714535239,0.5433682134224548,-0.055481065482094194,-0.14254808086795626,-0.05052711307536095,0.3746206353106223
Faecalibacterium prausnitzii,0.19862533289790535,-0.05892806113011162,0.2539802299340068,0.1291232648044121,0.3905934971598668,-0.1106159281632057,0.0017013560206695505,-0.017632445939647273,-0.3390544844396356,0.18883608311937283,0.1783165816539668,0.10153403699273827,0.02962385998745594,-0.3246112226151242,-0.0261935968296077,-0.0028143549580308402,-0.14068318076648564,0.05161428650019727,0.2212152570443615,0.665855770363159,0.1523733438495517,0.1772651172168293,0.07766622527014984,-0.47563136458971245,0.09204583736523494,0.11806906298230793,0.8389726337455858,0.04229171056566325,0.19046420270008374
Akkermansia muciniphila,0.08958646908842702,-0.2506034112858596,0.44284684435450616,0.32557990980603224,0.33730958411291406,-0.17281623643842167,0.5208382932808298,-0.3205553188376843,0.2760571281400811,0.7571366877429935,-0.1971608975392065,-0.06988931888083155,0.12989540952629236,-0.05104269623485974,-0.36519902931983983,0.1205688924418082,-0.21869111411783146,0.24207772919055448,-0.17582727027014092,0.5649803215052618,-0.1349759877008711,0.0033815451382973316,0.34405516521090096,-0.2692592949301865,0.16823798038123883,0.4921428262847284,-0.38224497036836824,0.15539015755969127,0.17796483827452708
Escherichia coli,0.33454686153319313,-0.2710852132634246,-0.29613698392528287,0.25658246968506926,0.18909540196995583,0.17514785510376296,0.20393446284909272,-0.10400741647354722,0.16967610914830106,0.18792174198960437,-0.11430542540791033,0.659732353343427,0.24214987627353626,-0.2573910491607946,0.2969660825901489,-0.19240450106819643,0.3361253811227356,0.44757867370222126,-0.14620469550551313,0.3890128387732965,0.2238342780809495,0.346618047998347,0.6690378947961841,0.026383565199138856,-0.12612084930724685,-0.16685432888765697,-0.14474308548963147,0.07686948717576875,0.20234559244499317
Streptococcus salivarius,0.18300723979900574,0.34815497471080714,0.10390056756337211,0.536060223147195,0.02060295002861319,0.9160507499768856,0.28770020432950183,-0.15714726692488476,-0.2212677494183337,0.2447417245729556,0.03296116440224474,0.3142001482276276,0.24197128737206344,0.07815132620293817,-0.15403811542052145,-0.3544541674057594,-0.033954485620106306,0.35691963829704165,0.1642281232390612,-0.27372163361359636,0.1519542777553546,0.21559521391865105,-0.16515723086033987,0.14611753178365838,0.11746261553379997,-0.24289108934918693,0.207336208104485,0.2682353579104703,0.4249153729525831
Lacticaseibacillus rhamnosus,0.4161406156104709,-0.3133008103871273,-0.18134751197453683,0.2545105801625979,0.25413578527366265,0.25451430589181434,1.2558194471964164,0.2712671532079501,0.4406696920541797,0.38620052904796065,0.2954173753917394,0.00541922660789633,0.3276907661479802,-0.1318475643612715,0.028954417977997346,-0.04560906434873102,0.12456224181589677,0.7943975700020526,-0.4601795577775244,0.30587805711235405,-0.3838147613568955,-0.04157955973683003,0.42668517909020987,0.11928400572863884,-0.22332343337879182,-0.11459111277799044,0.30387932468040274,-0.11910998951514098,0.16493757687459246
Lactiplantibacillus plantarum,0.11367155197114415,-0.09548010428174511,0.7431832267975976,0.2901757066954034,-0.5075427759972821,0.1559362944308283,-0.09853593943051639,0.35573000043886716,-0.13775622152981018,0.0655790675599303,0.2514961836941372,0.3597265582510364,-0.26008892211673285,-0.0003503707522845012,-0.04248359334828683,-0.09599876977211355,0.629636272084329,0.22149451328828668,-0.27826518630051356,0.37535858411643286,0.7366468591037899,0.409739578165344,-0.35581098978620396,-0.04527022185987539,0.48007334475598684,-0.1123008396856342,0.23314582844386852,0.33239021602880103,-0.17807914147342488
Enterococcus faecalis,0.08214239318145998,-0.8723802020207218,-0.20731629240028696,0.02422955458205192,-0.2743349545894548,0.5897233911794906,-0.32904241338818974,-0.03201334600909511,0.1392221731858274,0.5323819867198346,-0.3307586453538318,0.4489491256464879,0.10306991830587613,-0.19445259531438527,0.23863104227898121,0.159717908672041,-0.0800650631476384,0.12094062549700568,-0.015594079058528054,0.13405520357537443,0.298639202356314,0.5758050448436056,-0.2713446496480547,0.7399100123968799,-0.4856263398567505,0.05446447148932501,0.27649516194537294,0.1842975603205098,-0.08680985594617813
Bacteroides fragilis,0.03756332489281744,-0.04790028039764985,-0.07680942708326344,0.35488062910630735,0.2071046457895142,-0.10787287857819625,0.36987996262997525,0.1921898562629828,0.34385863565168806,0.2888886525770837,-0.14869850327662168,-0.06805431205909085,0.32418808153697853,0.28311107963003945,0.09372952181075557,0.1351982149926346,0.4832994687365275,-0.07747141665074897,0.2641292143510114,0.03934220426983179,0.034695639031833925,0.42963305559615705,0.34762490469640894,0.3440528908001915,0.49164364214629874,0.10630115248982772,0.3045858913884892,0.006919973021963191,0.19724990574653262
Parabacteroides goldsteinii,0.06095708368969463,0.12909878949781545,0.2785471076310741,-0.14546620497004173,0.727716182705638,-0.2018052144499106,-0.26425658383631967,0.4474332620500203,0.3374988081888808,0.28723594511564654,0.28850365277928397,0.09632596814592562,-0.16917631144574943,0.12274136745811791,-0.10314851345363349,0.39253592002532534,0.05588278554935841,-0.14764915903775344,0.003584247504101981,0.2238794362826873,-0.06911736584119241,-0.14666611866992943,0.17310616344757368,0.17348997133261684,-0.05208295261133891,-0.04131149168549683,0.1696149812072909,-0.3344253024491972,-0.3222391323129665
Alistipes onderdonkii,-0.1155332663757308,0.035965854486445833,0.19327226967940137,0.5426068650848656,0.3572978869606058,0.052018441010971875,0.09429513762919335,-0.20075880939134264,0.09444605920228302,0.013402408323958517,0.19681556810142686,-0.14816928306569688,0.2558039542723517,0.5598216739007733,0.06737195546294272,0.22051351662968244,0.30704319751333375,-0.020366141565750867,0.16722774454312503,0.10377772023453846,0.12930282956464953,-0.13190293515663992,0.10735305227768283,0.24939948737363493,0.5353430823385125,0.387781247825562,0.7459547372534668,-0.13020426886641484,0.3616961910162034
Collinsella,0.15500260172150554,0.7569408799653017,-0.14248948560654542,-0.1519165526542328,-0.07981779363320662,-0.537168717292942,-0.05772650650422831,-0.12773979846610936,0.1451181359428623,0.20252679273314783,0.6628512517647658,0.3851271514558151,-0.07307109669872092,-0.1695244014045074,0.2475757514519517,-0.29606996210619263,0.649437629756306,0.4538320362163861,-0.04075269563141143,-0.4139403587272632,0.5061617122496238,0.06563804642421464,0.47134489359203857,-0.3783282976383101,-0.07981250688613184,0.10157310991545496,0.11409417812942262,-0.03501964144377309,0.2868549797042496
Bacteroidota,-0.2202861288147783,0.057286154493611956,0.13608868951356967,0.2543316502176247,0.3134844634266669,-0.23739262755136073,-0.36023425122068664,0.4833030465695527,0.19969420359387752,-0.12454596096696607,0.5653455926567569,0.1347023902878576,0.453789155219148,0.12025554442303268,0.7182243774645961,0.6266022527329613,0.025310755456277964,0.3914712852863066,0.29361278487554426,0.5105894672597046,-0.1894770381740313,0.3058154379995318,0.4175273460548763,-0.4276218459269343,-0.2549775537997325,-0.5117696533280301,0.01917794966663268,0.3152626767387887,0.5507071156288084
Lactobacillus,0.12222843412593257,0.5885846636713875,-0.31403043746446735,-0.41101473180654635,0.08333569033101437,0.21521963468179217,0.09019157557177207,-0.520232630011963,0.07326398814616349,-0.29134085015145594,0.3009017646490115,0.20997947382905446,-0.18196393589820656,-0.054160075201008046,-0.21776405656668543,0.08119627081804845,0.3865426961503715,-0.1957178139006631,0.25121395465535334,-0.05907728551173222,-0.13786184967870324,0.06789089201363266,-0.21057269672581222,-0.0660947916041546,-0.2593633677766545,0.6894175398749167,0.11057906559151859,-0.10991765239777568,0.1641939732202666
Enterococcus durans,0.06630158509275105,0.03370912014003312,0.2842500100130276,0.32725231301419155,-0.05915034428315824,-0.07274547219340399,0.017484490854506804,-0.5905763494206755,-0.35455731865956563,0.5100622802333574,0.5934903140503851,0.025289188133086518,0.27296708891672994,0.19337504636306085,1.0236642425365714,0.43587247343037305,0.06162472255577005,-0.1866621321801277,-0.3819338960772717,0.16103909076016693,-0.126905223585291,-0.3266761128793022,-0.09397186527275797,-0.22446440108431845,0.6061424905217694,0.36449192708483513,0.09760820760501479,0.5439832416670077,0.12321049229428549
Limosilactobacillus fermentum,-0.15838526039847908,0.5569372231808971,0.2616730131053976,-0.21117384629793692,0.04289839657491755,-0.16268547601542713,-0.3148399192893008,0.3778532642594924,0.6728249921410391,-0.3195702721457423,0.2688907710071713,-0.09519277073654808,-0.04613761512940881,-0.07771817727166075,-0.1591972309039448,0.1145564883834481,-0.14928503492331133,0.18113704773395164,0.08492856716525893,0.02831558594007709,-0.17226909861247933,-0.0730313991704998,0.32661736774772676,0.2502751562873142,-0.1932665734395653,0.12979969162876775,0.3254161370115367,-0.4008215843364116,0.2630080577139805
Streptococcus macedonicus,-0.098787127683754,0.27117960057794777,-0.12897774696275505,-0.44146463019935567,-0.3882627313649488,0.1144254839984146,0.17791675051644457,-0.17129498753132258,0.29157773763321215,-0.3984560186806879,0.08017606040580504,-0.263304859928737,-0.09555083234064773,0.11421960139492421,-0.15812400958518572,-0.015366663268947589,0.4018878427643322,-0.0730675608569446,0.3507076336195425,-0.23891205639728544,0.25894125337458485,0.5324705861973701,-0.6414933500381867,-0.13906857664114303,0.273121638154162,0.039086384187102204,0.21134376201139266,-0.08119555601474615,0.12597693624186998
Bifidobacterium longum,0.05329682938237616,0.4503346184979422,0.17632625299036392,0.20128079862256065,-0.0235630898367402,-0.04628186722174804,-0.029767456345886262,0.21833564271348904,-0.026295344246078878,0.18693245706892386,0.7226202395936316,0.36133741102950767,0.0021929403496476624,0.4603641766491835,-0.02242261190646541,-0.5114373605533562,-0.20242589327522123,-0.46123757630775675,-0.005454045212392594,0.10552551375686552,0.6029311936825847,0.1980782121292488,0.034269841357340736,0.34882167435504674,-0.5633405927023656,0.1706843674325698,0.33125955816609004,-0.3435758737339525,0.44312621296207877
Bifidobacterium adolescentis,0.20154892224832424,-0.02458637417024037,0.28983455983188544,0.7812078573413187,0.15455987651754854,0.17446617589010083,-0.037808269862073224,-0.1549533108394375,0.3491007449632737,-0.15682514777266013,0.12146987116581774,-0.043297234029535,0.24369394772391756,0.20009863158608449,0.41126198327736974,-0.05300491965642409,0.019037519411988627,-0.19362911473469221,-0.03328797802283345,0.21319014791345564,0.32709658499360555,-0.17664959725328763,0.360881776031698,0.5066913576414853,0.22403047096711026,0.6630387437674198,-0.1321367597310719,-0.27339641099342504,-0.4336160746712836
Phocaeicola vulgatus,0.5488132934467549,0.29630969690621733,0.08332459872686349,0.18399058789594608,-0.23764671418951291,0.8337255938850479,0.13876635459256825,0.13281843838146787,0.3177299871696076,0.24430276952101396,0.1671652072837394,-0.13714233663359357,0.2414405071407987,0.6646073489425101,0.5036260138464933,0.5779559879918191,-0.05336470292935552,-0.19688144607757427,0.062263923970105564,0.11671747368660838,0.4282574555412846,-0.40773938891444583,0.5588650958381841,0.05259763042630318,-0.02806432098422601,-0.20363131257805026,-0.39645700155973074,0.3469511751885743,0.12199539015652117
Parabacteroides distasonis,-0.2869882699223162,-0.2885236316190848,-0.0007354097870384546,0.6007064575868178,0.022122594590918573,-0.3509428859354319,0.026277080774216713,0.018182929075698864,-0.7090659928824715,0.08371154004465635,0.030719640937396625,0.3088619094440255,0.6546868284836035,0.4379695088643272,0.019333392833550844,-0.23195777262250108,0.872007940974958,0.11776553020434648,0.10417878757388387,0.09276247386699903,0.1594254282303565,0.05669187642281726,-0.07209860206407087,-0.06405768237211762,0.0901740189352005,-0.06302743134012948,-0.11385373480314931,0.13192906830756906,0.02350683477374342
Bacillota,0.5511978965748066,-0.6952909425179036,0.4274520555767385,0.4738255577492887,-0.5220170697224449,-0.002806278224104619,-0.011432259798737424,-0.3222535084153464,-0.13334500627726256,-0.23317275363974863,0.6256811330270867,0.3807035179442383,0.48146652849824767,0.31650161921297054,-0.23871553136516874,-0.0573560798839321,0.24681236836837542,-0.26663834266758357,0.3138995290517164,0.027902380552559503,-0.01244624226487924,0.31328799046104744,0.23327899344581193,-0.00828984974572397,0.4477989410092744,-0.22431899827996918,0.2847806820832791,0.2779303773905151,0.007136068205802926
Bifidobacterium longum subsp. infantis,0.1978399066726354,-0.27533407291559087,0.3772081057620703,0.0445293590671033,-0.05681690615571183,0.41470276775106674,-0.11130310716282776,-0.32253838890906783,-0.3669887520571711,0.28180298540369186,-0.2841288057488849,0.6264382545953093,-0.5245788223651167,0.6089369104870114,0.16330524016078551,0.07098606643888229,-0.06347572604268492,0.21974083430562125,0.08870958927254549,0.43099056460495644,0.1342682945986119,0.1450905284385633,-0.00908366366415675,0.08291631288367977,0.19234053066761775,-0.41305051779698765,-0.3044556266317139,0.32297922820681446,0.15125963143838256
Mediterraneibacter gnavus,0.04480499909419627,0.10553017991961795,0.2042745116085013,-0.06192790409280843,-0.13349141762069378,0.15875357652930447,-0.19351183328450958,0.22247582671434155,-0.4107750812713521,0.40874669119769313,0.2417792447239129,0.1768089202941627,0.3948072951836542,0.5996423333387729,0.40431101950543913,-0.45226226939949354,-0.2838730900207105,-0.08744557330870364,0.10782731506325013,0.2552977061407369,-0.11772314394603967,0.1560300293431235,-0.12661487970599675,-0.08345534089758447,-0.3219983290544667,-0.17696997383327126,-0.30550538168490005,-0.1927619758931998,0.4160925389823519
